# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "16" "-Q" "0" "-M" "-a" "/mnt/Scripts/SHARE-seq-alignment//gtf/mm10.gencode.gtf" "-t" "gene" "-g" "gene_name" "-o" "example_RNA.mm10.feature.count.txt" "-R" "BAM" "example_RNA.mm10.exon.featureCounts.bam" 
Geneid	Chr	Start	End	Strand	Length	example_RNA.mm10.exon.featureCounts.bam
Gm19026	chr1	6429655	6441296	-	11642	0
St18	chr1	6487231	6860940	+	373710	3
Gm42492	chr1	6861237	6864151	-	2915	0
Gm7449	chr1	6910560	6911222	+	663	0
Gm37108	chr1	6916559	6923588	+	7030	0
Gm37275	chr1	6929759	6929788	+	30	0
Gm37225	chr1	6998217	6998541	+	325	0
Gm37489	chr1	7013762	7013920	+	159	0
Gm5694	chr1	7035915	7037217	+	1303	0
Pcmtd1	chr1	7088920	7173628	+	84709	1
Gm26983	chr1	7136199	7136586	-	388	0
Gm38372	chr1	7148110	7152137	+	4028	0
Gm9826	chr1	7177739	7179037	+	1299	0
Nras-ps2	chr1	7189742	7189919	-	178	0
Gm23274	chr1	7265803	7265932	+	130	0
Gm19002	chr1	7315451	7316462	+	1012	0
Gm26901	chr1	7349406	7397869	-	48464	1
Gm18984	chr1	7410679	7411993	+	1315	0
Gm30414	chr1	7497968	7518149	+	20182	0
Gm37791	chr1	7591646	7591931	+	286	0
Gm7470	chr1	7597379	7599473	+	2095	0
Rps2-ps2	chr1	7664081	7664961	+	881	0
Gm38216	chr1	7728861	7730565	-	1705	0
Sntg1	chr1	8361475	9299878	-	938404	9
Gm38024	chr1	8450960	8453491	-	2532	0
Gm16284	chr1	8468426	8468825	-	400	0
Gm38259	chr1	8527780	8531313	-	3534	0
Gm23358	chr1	8588615	8588724	-	110	0
Gm37005	chr1	8643696	8644859	-	1164	0
Gm15452	chr1	8791923	8792162	-	240	0
Gm36964	chr1	8815842	8816039	+	198	0
Gm24276	chr1	8816138	8816247	+	110	0
Gm6152	chr1	8855928	8856267	-	340	0
Gm7445	chr1	8856763	8857102	+	340	0
Gm7493	chr1	8962996	8963621	-	626	0
Gm37629	chr1	9191067	9192116	-	1050	0
Gm38008	chr1	9258617	9259134	-	518	0
Gm37143	chr1	9286922	9290180	+	3259	0
Gm6187	chr1	9396773	9398687	-	1915	0
Gm18299	chr1	9439741	9440376	-	636	0
Gm7512	chr1	9450579	9451748	+	1170	0
Gm24765	chr1	9458670	9458772	+	103	0
Gm18300	chr1	9499338	9501522	-	2185	0
Rrs1	chr1	9545408	9547455	+	2048	0
Adhfe1	chr1	9547948	9580673	+	32726	0
2610203C22Rik	chr1	9560832	9631175	-	70344	0
Gm6161	chr1	9574548	9575649	+	1102	0
Vxn	chr1	9601199	9627143	+	25945	0
Gm29520	chr1	9639255	9640582	-	1328	0
Mybl1	chr1	9667415	9700209	-	32795	0
Vcpip1	chr1	9718622	9748382	-	29761	0
1700034P13Rik	chr1	9747648	9791924	+	44277	0
Sgk3	chr1	9798107	9900845	+	102739	0
Gm6195	chr1	9802197	9802553	-	357	0
Gm22607	chr1	9834498	9834602	-	105	0
Mcmdc2	chr1	9908638	9942085	+	33448	0
Snhg6	chr1	9941959	9944118	-	2160	0
Snord87	chr1	9942463	9942549	-	87	0
Tcf24	chr1	9960163	9967932	-	7770	0
E330040D14Rik	chr1	9967314	9968687	+	1374	0
Ppp1r42	chr1	9968624	10009136	-	40513	0
Gm15818	chr1	9982387	9992366	+	9980	0
Gm24674	chr1	10009814	10009917	-	104	0
Cops5	chr1	10024601	10038168	-	13568	2
Cspp1	chr1	10037987	10136768	+	98782	0
1700047N06Rik	chr1	10057025	10057944	-	920	0
Arfgef1	chr1	10137571	10232670	-	95100	3
Gm26348	chr1	10166539	10166778	+	240	0
Gm37569	chr1	10197081	10198802	-	1722	0
Cpa6	chr1	10324720	10719945	-	395226	0
Gm38005	chr1	10449245	10451989	-	2745	0
Gm15604	chr1	10554098	10555553	-	1456	0
Gm25253	chr1	10555554	10555660	-	107	0
Gm15603	chr1	10695123	10695614	+	492	0
Gm37133	chr1	10782456	10784377	-	1922	0
Gm5522	chr1	10805281	10806522	+	1242	0
Gm28659	chr1	10868688	10869446	+	759	0
Gm22963	chr1	10921670	10921760	+	91	0
Prex2	chr1	10993465	11303681	+	310217	1
Gm24173	chr1	11134111	11134238	-	128	0
Gm28686	chr1	11223566	11224174	-	609	0
Gm37410	chr1	11363926	11366964	-	3039	0
A830018L16Rik	chr1	11414105	11975901	+	561797	3
Gm38178	chr1	11416918	11419388	+	2471	0
Gm29273	chr1	11608139	11608400	-	262	0
Gm38069	chr1	11704207	11706350	+	2144	0
Gm7560	chr1	12120960	12121832	+	873	0
Gm22633	chr1	12374936	12375042	+	107	0
Mir6341	chr1	12425986	12426106	+	121	0
Gm2383	chr1	12565577	12566383	+	807	0
Gm6216	chr1	12655867	12656553	+	687	0
Gm17644	chr1	12667563	12673090	+	5528	0
Gm29663	chr1	12670324	12671176	-	853	0
Sulf1	chr1	12692277	12861192	+	168916	1
Slco5a1	chr1	12866549	12992650	-	126102	0
Gm37162	chr1	13059401	13059951	-	551	0
Gm5250	chr1	13062025	13062345	+	321	0
Gm29283	chr1	13068838	13078662	+	9825	0
Prdm14	chr1	13113457	13127163	-	13707	0
Ncoa2	chr1	13139105	13374083	-	234979	5
Gm38376	chr1	13177462	13179714	-	2253	0
Gm37409	chr1	13234809	13236434	-	1626	0
Gm27881	chr1	13262198	13262279	+	82	0
Gm38223	chr1	13289812	13290506	-	695	0
Gm37702	chr1	13297036	13298907	-	1872	0
Gm23169	chr1	13334498	13334609	-	112	0
Gm38120	chr1	13343563	13348204	-	4642	0
Gm38380	chr1	13354483	13356730	-	2248	0
Gm29570	chr1	13376070	13388413	+	12344	0
Gm7593	chr1	13407012	13407655	-	644	0
Tram1	chr1	13564698	13589910	-	25213	0
Lactb2	chr1	13623330	13660546	-	37217	0
Gm38319	chr1	13641483	13642748	-	1266	0
Xkr9	chr1	13668771	13701723	+	32953	0
Gm26273	chr1	13774334	13774464	-	131	0
Gm5523	chr1	13785883	13786879	-	997	0
Gm36947	chr1	13846871	13849119	-	2249	0
Gm25491	chr1	13932378	13932685	+	308	0
Gm37400	chr1	14109215	14112819	-	3605	0
Eya1	chr1	14168954	14310235	-	141282	0
Gm22616	chr1	14182578	14182677	+	100	0
Gm37444	chr1	14255552	14255990	-	439	0
Gm9947	chr1	14752937	14776931	+	23995	0
Msc	chr1	14753346	14755992	-	2647	0
Gm37412	chr1	14788645	14792965	+	4321	0
Smt3h2-ps4	chr1	14839869	14840156	-	288	0
Rpl5-ps1	chr1	14865072	14865965	+	894	0
Trpa1	chr1	14872648	14918862	-	46215	0
Gm26345	chr1	15019040	15019159	-	120	0
Gm10566	chr1	15268802	15269797	-	996	0
Kcnb2	chr1	15287254	15723750	+	436497	8
Gm38116	chr1	15364302	15365834	+	1533	0
Gm37138	chr1	15556249	15558337	+	2089	0
Gm25227	chr1	15685935	15686046	-	112	0
Gm25168	chr1	15757832	15757963	+	132	0
Gm6060	chr1	15760122	15760668	-	547	0
Gm28669	chr1	15760761	15760860	+	100	0
Terf1	chr1	15805646	15844052	+	38407	0
Gm37509	chr1	15853331	15856499	+	3169	0
Sbspon	chr1	15853862	15892722	-	38861	0
Gm23259	chr1	15879530	15879832	+	303	0
Gm7634	chr1	16053335	16053887	+	553	0
4930444P10Rik	chr1	16065979	16093325	-	27347	0
Rpl7	chr1	16101295	16104662	-	3368	0
Rdh10	chr1	16105774	16133734	+	27961	0
Gm38249	chr1	16208197	16210517	-	2321	0
Gm28095	chr1	16228506	16244062	+	15557	0
Stau2	chr1	16228674	16520112	-	291439	3
Gm7568	chr1	16253592	16267921	+	14330	0
Ube2w	chr1	16540790	16619489	-	78700	0
Gm38342	chr1	16618560	16621539	+	2980	0
Eloc	chr1	16641725	16657042	-	15318	0
D030040B21Rik	chr1	16657552	16662278	+	4727	0
Gm7654	chr1	16662980	16663662	-	683	0
Tmem70	chr1	16665207	16678275	+	13069	0
Ly96	chr1	16688051	16709611	+	21561	1
Gm29649	chr1	16758205	16758623	-	419	0
Gm5828	chr1	16768279	16770138	-	1860	0
Gm28376	chr1	16898185	17091631	+	193447	0
4921511E07Rik	chr1	16930970	16931796	+	827	0
Jph1	chr1	16964560	17097889	-	133330	0
Gm28783	chr1	17124747	17128956	+	4210	0
Gdap1	chr1	17145362	17164271	+	18910	0
Gm28784	chr1	17168403	17173103	+	4701	0
Gm28785	chr1	17250114	17250492	-	379	0
Gm5251	chr1	17394958	17395429	+	472	0
Rbm6-ps1	chr1	17397412	17400281	-	2870	0
Gm6075	chr1	17429043	17429528	-	486	0
Gm25166	chr1	17520001	17520111	+	111	0
Pi15	chr1	17601901	17630939	+	29039	0
Gm28154	chr1	17615084	17641081	-	25998	0
Gm16070	chr1	17676027	17727646	-	51620	0
Crispld1	chr1	17727045	17766344	+	39300	0
Gm28153	chr1	17741915	17805417	-	63503	0
Gm7690	chr1	17947041	17948439	+	1399	0
Gm18775	chr1	17993010	17999622	-	6613	0
Gm17969	chr1	17993813	17997483	+	3671	0
Gm28756	chr1	17994462	18059056	-	64595	0
Gm28755	chr1	18005961	18016186	-	10226	0
Gm45784	chr1	18048100	18058269	-	10170	0
Crisp4	chr1	18115191	18145902	-	30712	0
Defb44-ps	chr1	18210053	18223564	-	13512	0
Defb18	chr1	18236473	18237443	-	971	0
Defb41	chr1	18250980	18265138	-	14159	0
Gm17837	chr1	18262395	18263379	-	985	0
Gm5252	chr1	18708428	18709336	+	909	0
Gm24075	chr1	18969762	18969833	-	72	0
Gm28343	chr1	19037266	19037377	+	112	0
Gm28344	chr1	19062857	19063135	+	279	0
Gm15825	chr1	19063300	19104840	-	41541	0
Tfap2d	chr1	19103022	19166346	+	63325	0
Gm10075	chr1	19153422	19153966	-	545	0
Tfap2b	chr1	19208914	19238576	+	29663	0
Gm28340	chr1	19242725	19243769	+	1045	0
Gm28341	chr1	19320226	19320697	-	472	0
Gm4849	chr1	19330939	19333184	+	2246	0
Gm24633	chr1	19513855	19513919	-	65	0
Gm38382	chr1	19614269	19616767	+	2499	0
Pkhd1	chr1	20057779	20618064	-	560286	0
Gm37315	chr1	20062070	20065548	-	3479	0
4930486I03Rik	chr1	20356452	20392300	+	35849	0
Gm15795	chr1	20444258	20444810	-	553	0
Gm24162	chr1	20444811	20444912	-	102	0
Gm28653	chr1	20669882	20684298	+	14417	0
Mir206	chr1	20679010	20679082	+	73	0
Mir133b	chr1	20682769	20682887	+	119	0
Il17a	chr1	20730905	20734496	+	3592	0
Il17f	chr1	20777146	20790617	-	13472	0
Mcm3	chr1	20802968	20820312	-	17345	0
Gm20587	chr1	20821331	20822516	+	1186	0
Gm28065	chr1	20836661	20839689	+	3029	0
Gm24723	chr1	20842535	20842666	-	132	0
6720483E21Rik	chr1	20888650	20890473	-	1824	0
Paqr8	chr1	20890606	20939650	+	49045	0
Gm24171	chr1	20915410	20915540	-	131	0
Gm28064	chr1	20945711	20946914	+	1204	0
Efhc1	chr1	20951626	20990841	+	39216	0
Tram2	chr1	20996299	21079229	-	82931	0
Gm28287	chr1	21080114	21081748	+	1635	0
Gm2693	chr1	21178988	21187427	+	8440	0
Tmem14a	chr1	21218575	21230167	+	11593	0
Gm38224	chr1	21234722	21236821	+	2100	0
Gsta3	chr1	21240589	21265661	+	25073	0
Gm28836	chr1	21250359	21271593	-	21235	0
Gm7094	chr1	21272403	21272906	+	504	0
Gm4956	chr1	21285246	21298312	-	13067	0
Gm21909	chr1	21312517	21316320	-	3804	0
Khdc1a	chr1	21349641	21352200	+	2560	0
Gm16329	chr1	21354005	21355116	+	1112	0
Gm16327	chr1	21364803	21365030	+	228	0
Khdc1c	chr1	21368331	21370845	+	2515	0
Gm2709	chr1	21372670	21373764	+	1095	0
Gm16533	chr1	21379555	21379782	+	228	0
Khdc1b	chr1	21383556	21386373	+	2818	0
Gm16328	chr1	21390906	21391101	+	196	0
Kcnq5	chr1	21398403	21961942	-	563540	10
Gm36949	chr1	21454691	21457017	-	2327	0
Gm7658	chr1	21511933	21513056	-	1124	0
Gm38243	chr1	21838948	21840514	-	1567	0
Gm5696	chr1	22030064	22030615	-	552	0
Gm28239	chr1	22237849	22238295	+	447	0
Rims1	chr1	22286251	22805994	-	519744	6
Gm26866	chr1	22740764	22741565	+	802	0
Gm7761	chr1	22984863	22987125	-	2263	0
Gm29506	chr1	23048295	23235673	-	187379	0
Ppp1r14bl	chr1	23100473	23102253	-	1781	0
Gm24176	chr1	23245211	23245331	+	121	0
Gm6420	chr1	23255685	23256407	-	723	0
Mir30a	chr1	23272269	23272339	+	71	0
Gm27028	chr1	23291537	23291935	+	399	0
Mir30c-2	chr1	23291701	23291784	+	84	0
Gm29107	chr1	23293729	23294075	+	347	0
Gm20954	chr1	23345956	23346599	-	644	0
Ogfrl1	chr1	23366424	23397772	-	31349	0
Gm7784	chr1	23479539	23480527	+	989	0
Gm28822	chr1	23574587	23596664	+	22078	0
B3gat2	chr1	23761753	23849158	+	87406	0
Smap1	chr1	23844846	23922317	-	77472	1
Sdhaf4	chr1	23995939	24005656	-	9718	0
Gm26524	chr1	24005505	24005894	+	390	0
Fam135a	chr1	24011093	24100341	-	89249	1
Gm37580	chr1	24100625	24103424	+	2800	0
Gm26607	chr1	24125275	24126141	+	867	0
Col9a1	chr1	24177610	24252684	+	75075	0
Col19a1	chr1	24261890	24587472	-	325583	0
Gm26418	chr1	24548841	24548977	-	137	0
Tubb4b-ps2	chr1	24594087	24595423	-	1337	0
Gm28439	chr1	24611535	24612410	-	876	0
Gm10222	chr1	24612407	24612700	-	294	0
Gm28438	chr1	24612775	24613119	-	345	0
Gm28437	chr1	24613189	24613971	-	783	0
Gm10925	chr1	24613974	24614651	-	678	0
Gm28661	chr1	24614885	24615565	-	681	0
Gm29216	chr1	24615706	24616197	-	492	0
Lmbrd1	chr1	24678630	24766301	+	87672	0
Gm28594	chr1	24910461	24911659	-	1199	0
Gm28237	chr1	24963209	24965158	-	1950	0
Gm9443	chr1	25011941	25012756	+	816	0
Gm29414	chr1	25026581	25027232	-	652	0
Adgrb3	chr1	25067476	25829707	-	762232	9
Gm15702	chr1	25223730	25224173	+	444	0
Gm20172	chr1	25276404	25277954	-	1551	0
Gm22260	chr1	25279445	25279551	-	107	0
Gm37543	chr1	25284218	25285248	-	1031	0
Gm37331	chr1	25296512	25299886	-	3375	0
Gm37211	chr1	25314276	25317708	-	3433	0
Gm37862	chr1	25325866	25328398	-	2533	0
Gm38286	chr1	25345978	25349082	-	3105	0
Gm37880	chr1	25362564	25365820	-	3257	0
Gm25294	chr1	25451071	25451174	+	104	0
Gm37011	chr1	25608250	25611184	-	2935	0
Gm29214	chr1	25614946	25615515	-	570	0
Gm37051	chr1	25620238	25623180	-	2943	0
Gm38260	chr1	25672245	25676239	-	3995	0
Gm37628	chr1	25686062	25691501	-	5440	0
8030445P17Rik	chr1	25722038	25724778	-	2741	0
Gm38198	chr1	25735389	25738969	-	3581	0
Gm37077	chr1	25755343	25759033	-	3691	0
Gm37895	chr1	25775757	25780306	-	4550	0
Gm36952	chr1	25797281	25800905	-	3625	0
Gm37602	chr1	25804097	25807406	-	3310	0
2900022M07Rik	chr1	25808956	25809972	-	1017	0
2900002M20Rik	chr1	25824390	25824719	-	330	0
Gm9884	chr1	25830657	25831878	+	1222	0
Gm18443	chr1	25996604	25997159	-	556	0
Gm19123	chr1	26466236	26466886	+	651	0
Gm24064	chr1	26566833	26566938	+	106	0
4931408C20Rik	chr1	26681814	26687460	-	5647	0
n-R5s209	chr1	26959103	26959221	-	119	1
Gm19641	chr1	27336352	27336768	-	417	0
Gm5524	chr1	27884046	27902396	+	18351	0
Gm18776	chr1	27900419	27901072	-	654	0
Gm19028	chr1	27989910	27991782	+	1873	0
Gm38089	chr1	28569918	28571431	+	1514	0
Gm7846	chr1	28580499	28580772	-	274	0
Gm597	chr1	28776117	28780252	-	4136	0
Gm5697	chr1	28800240	28802721	-	2482	0
Gm6462	chr1	28938036	28938339	+	304	0
Gm18033	chr1	29219700	29220249	+	550	0
Gm25586	chr1	29280964	29281075	-	112	0
Gm22679	chr1	29301480	29301579	+	100	0
Gm23785	chr1	29361275	29361370	-	96	0
Mir6342	chr1	29421488	29421612	+	125	0
Gm5525	chr1	29484604	29485915	-	1312	0
AC125120.1	chr1	29813154	29814438	+	1285	0
Gm7858	chr1	29930094	29930715	+	622	0
Gm23771	chr1	29985934	29986043	+	110	0
Gm27430	chr1	30333291	30333397	-	107	0
Gm9898	chr1	30718560	30719962	-	1403	0
Gm6473	chr1	30769687	30771815	+	2129	0
Gm2914	chr1	30794548	30794875	-	328	0
Phf3	chr1	30802339	30873921	-	71583	2
Gm37522	chr1	30833548	30836431	-	2884	0
Gm37906	chr1	30865504	30868538	-	3035	0
Ptp4a1	chr1;chr1	30940302;30940302	30949309;30949770	-;-	9469	0
Gm5698	chr1	30977243	30977968	-	726	0
Gm9458	chr1	30986225	30986953	-	729	0
4931428L18Rik	chr1	30997842	31222684	-	224843	0
Gm28644	chr1	31041919	31043675	+	1757	0
Gm27362	chr1	31122725	31122862	-	138	0
Gm29128	chr1	31136026	31150105	+	14080	0
Gm7893	chr1	31164549	31164773	+	225	0
Lgsn	chr1	31176401	31204725	+	28325	0
Pih1d3	chr1	31222838	31224288	+	1451	0
Gm26145	chr1	31259593	31259719	-	127	0
Gm4850	chr1	31267326	31267884	+	559	0
Gm28645	chr1	31274892	31275455	+	564	0
Gm6489	chr1	31286945	31287640	+	696	0
Eef1a1-ps2	chr1	31559540	31561400	+	1861	0
Gm19680	chr1	31615149	31616661	+	1513	0
Gm23032	chr1	31656632	31656738	-	107	0
Gm7910	chr1	31736057	31736891	+	835	0
Khdrbs2	chr1	32172714	32658568	+	485855	1
Gm25814	chr1	32213133	32213239	-	107	0
Gm37999	chr1	32473757	32475565	+	1809	0
Gm37110	chr1	32485315	32486942	+	1628	0
Gm37911	chr1	32496444	32497988	+	1545	0
Gm9839	chr1	32519563	32520999	-	1437	0
Gm37792	chr1	32539028	32542440	+	3413	0
Gm5415	chr1	32543686	32547294	-	3609	0
Gm24732	chr1	32568359	32568421	-	63	0
Gm37426	chr1	32710179	32712648	+	2470	0
Gm23024	chr1	32726639	32726930	+	292	0
Gm37151	chr1	32967484	32972490	-	5007	0
Gm28624	chr1	33028160	33030290	-	2131	0
Gm37724	chr1	33065130	33066350	+	1221	0
Gm7114	chr1	33100907	33102695	+	1789	0
Gm4785	chr1	33108905	33109655	-	751	0
Gm24901	chr1	33191993	33192102	+	110	0
Gm37591	chr1	33212774	33215475	-	2702	0
Gm2987	chr1	33235939	33237631	+	1693	0
Gm25792	chr1	33293676	33293775	+	100	0
Gm18799	chr1	33315670	33316582	-	913	0
Gm7933	chr1	33371331	33373585	+	2255	0
Gm23453	chr1	33422733	33422838	+	106	0
Prim2	chr1	33453810	33669795	-	215986	0
Gm29228	chr1	33482101	33482518	+	418	0
Gm37618	chr1	33613758	33616832	-	3075	0
Gm17813	chr1	33657781	33658108	+	328	0
1700001G17Rik	chr1	33669824	33670712	+	889	0
Gm38173	chr1	33671915	33674228	-	2314	0
Rab23	chr1	33719887	33742564	+	22678	0
Bag2	chr1	33745484	33757795	-	12312	0
Gm37905	chr1	33748007	33748347	+	341	0
Zfp451	chr1	33761545	33814595	-	53051	0
Gm15455	chr1	33836124	33838680	-	2557	0
Bend6	chr1	33852052	33907816	-	55765	0
Gm37067	chr1	33889490	33891117	-	1628	0
Dst	chr1	33908225	34308661	+	400437	2
Gm37354	chr1	33922455	33924838	+	2384	0
Gm28631	chr1	33963352	33963685	-	334	0
Gm23792	chr1	33981410	33981502	-	93	0
Gm38157	chr1	34032100	34033797	+	1698	0
Mir6896	chr1	34117359	34117431	+	73	0
Gm26788	chr1	34165856	34178446	-	12591	0
A930005N03Rik	chr1	34269882	34271128	-	1247	0
Gm37958	chr1	34329433	34330307	-	875	0
Gm37385	chr1	34350775	34351161	+	387	0
Gm5266	chr1	34367371	34369003	+	1633	0
Gm3052	chr1	34415050	34417986	-	2937	0
Gm37233	chr1	34427002	34433264	-	6263	0
Mir5103	chr1	34433121	34433199	-	79	0
Ccdc115	chr1	34436670	34439672	-	3003	0
Gm28306	chr1	34439511	34444730	-	5220	0
Imp4	chr1	34439851	34449356	+	9506	0
Ptpn18	chr1	34459762	34475733	+	15972	0
Gm28417	chr1	34468834	34473148	-	4315	0
4930568A12Rik	chr1	34477167	34485933	-	8767	0
Prss39	chr1	34498410	34503063	+	4654	0
Gm28416	chr1	34523716	34524007	-	292	0
Cfc1	chr1	34535648	34544313	+	8666	0
Gm28419	chr1	34538086	34538560	-	475	0
Prss40	chr1	34543968	34560943	-	16976	0
1700101I19Rik	chr1	34579202	34579711	-	510	0
Amer3	chr1	34579657	34590944	+	11288	0
Gm28418	chr1	34607297	34607719	-	423	0
Gm36984	chr1	34610572	34610806	-	235	0
Gm29730	chr1	34610908	34612303	-	1396	0
AA619741	chr1	34635544	34636189	-	646	0
Arhgef4	chr1;chr1	34678188;34801794	34813309;34801964	+;+	135122	0
Gm37224	chr1	34752775	34752922	+	148	0
Gm37845	chr1	34753123	34753477	+	355	0
Gm38336	chr1	34809360	34811908	-	2549	0
Fam168b	chr1	34813219	34843065	-	29847	1
Gm37127	chr1	34823525	34826560	+	3036	0
Plekhb2	chr1	34849976	34879580	+	29605	0
Gm19430	chr1	34928509	34930645	+	2137	0
Gm37670	chr1	34969627	34969855	-	229	0
Gm8009	chr1	34970065	34970500	+	436	0
Gm38027	chr1	34985656	34985890	+	235	0
Gm25096	chr1	35178956	35179084	-	129	0
Gm37068	chr1	35625606	35651297	-	25692	0
Gm25634	chr1	35761602	35761706	+	105	0
Gm28415	chr1	35806974	35810462	+	3489	0
1110002O04Rik	chr1	35879845	35881119	+	1275	0
Gm8022	chr1	35958919	35959822	+	904	0
Gm37146	chr1	35981960	35986373	-	4414	0
Gm33222	chr1	36002985	36011044	-	8060	0
4930535G08Rik	chr1	36011072	36011894	+	823	0
Gm38049	chr1	36029647	36031018	-	1372	0
Hs6st1	chr1	36068400	36106446	+	38047	0
Gm37335	chr1	36105384	36106446	-	1063	0
Gm33280	chr1	36132042	36138746	+	6705	0
Uggt1	chr1	36140027	36244720	-	104694	0
Mir6897	chr1	36144252	36144313	-	62	0
Neurl3	chr1	36264597	36274679	-	10083	0
Arid5a	chr1	36307733	36324029	+	16297	0
4930403P22Rik	chr1	36332708	36333420	+	713	0
Kansl3	chr1	36335730	36369181	-	33452	0
Mir6898	chr1	36348682	36348758	-	77	0
Fer1l5	chr1	36372291	36422110	+	49820	1
Lman2l	chr1	36419871	36445271	-	25401	0
Cnnm4	chr1	36471620	36508764	+	37145	0
Gm37909	chr1	36473952	36476110	+	2159	0
Gm47280	chr1	36506562	36506702	+	141	0
Cnnm3	chr1	36511867	36528237	+	16371	0
Gm38033	chr1	36527534	36528237	-	704	0
Ankrd23	chr1	36530188	36536883	-	6696	0
Gm42417	chr1	36530193	36539429	-	9237	0
Ankrd39	chr1	36537507	36547445	-	9939	0
Sema4c	chr1	36548639	36558349	-	9711	0
D430040D24Rik	chr1	36557701	36565613	+	7913	0
Fam178b	chr1	36562692	36683183	-	120492	0
Gm6428	chr1	36601802	36602146	+	345	0
Gm24133	chr1	36663965	36664039	+	75	0
Cox5b	chr1	36691449	36693681	+	2233	0
Actr1b	chr1	36698114	36714422	-	16309	0
4933424G06Rik	chr1	36710149	36757953	+	47805	0
Gm33533	chr1	36739048	36744792	-	5745	0
Zap70	chr1	36761798	36782818	+	21021	0
Gm18828	chr1	36764863	36765874	-	1012	0
Tmem131	chr1	36792191	36943666	-	151476	4
Gm37506	chr1	36871903	36872045	-	143	0
Gm38115	chr1	36913601	36916539	-	2939	0
F830112A20Rik	chr1	36922797	36926348	-	3552	0
Rpl12-ps1	chr1	36957930	36958427	-	498	0
n-R5s210	chr1	37005439	37005557	+	119	0
Vwa3b	chr1	37026596	37187613	+	161018	0
Gm37020	chr1	37132273	37133264	-	992	0
Cnga3	chr1	37214434	37263384	+	48951	0
1700074A21Rik	chr1	37299352	37299697	-	346	0
Inpp4a	chr1	37299865	37410736	+	110872	0
4930439A04Rik	chr1	37329667	37334172	-	4506	0
Gm37135	chr1	37330971	37331504	-	534	0
Coa5	chr1	37417084	37430103	-	13020	0
Unc50	chr1	37430139	37439124	+	8986	0
